Date,Price,,,,,,,,
31/12/2024,924,,,,,,,,
30/09/2024,998,,,,,,,,
30/06/2024,998,,,,,,,,
31/03/2024,850,,,,,,,,
31/12/2023,732,,,,,,,,
30/09/2023,820,,,,,,,,
30/06/2023,897,,,,,,,,
31/03/2023,971,,,,,,,,
31/12/2022,878,,,,,,,,
30/09/2022,945,,,,,,,,
30/06/2022,1150,,,,,,,,
31/03/2022,1010,,,,,,,,
31/12/2021,956,,,,,,,,
30/09/2021,982,,,,,,,,
30/06/2021,1013,,,,,,,,
31/03/2021,818,,,,,,,,
31/12/2020,676,,,,,,,,
30/09/2020,619,,,,,,,,
30/06/2020,500,,,,,,,,
31/03/2020,603,,,,,,,,
31/12/2019,544,,,,,,,,
30/09/2019,609,,,,,,,,
30/06/2019,666,,,,,,,,
31/03/2019,612,,,,,,,,
31/12/2018,559,,,,,,,,
30/09/2018,646,,,,,,,,
30/06/2018,663,,,,,,,,
31/03/2018,640,,,,,,,,
31/12/2017,524,,,,,,,,
30/09/2017,550,,,,,,,,
30/06/2017,614,,,,,,,,
31/03/2017,578,,,,,,,,
31/12/2016,472,,,,,,,,
30/09/2016,507,,,,,,,,
30/06/2016,544,,,,,,,,
31/03/2016,533,,,,,,,,
31/12/2015,472,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,